Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Person-to-person transmission of Nipah virus in a Bangladeshi community.,Gurley ES.; Montgomery JM.; Hossain MJ.; Bell M.; Azad AK.; Islam MR.; Molla MA.; Carroll DS.; Ksiazek TG.; Rota PA.; Lowe L.; Comer JA.; Rollin P.; Czub M.; Grolla A.; Feldmann H.; Luby SP.; Woodward JL.; Breiman RF.,"An encephalitis outbreak was investigated in Faridpur District, Bangladesh, in April-May 2004 to determine the cause of the outbreak and risk factors for disease. Biologic specimens were tested for Nipah virus. Surfaces were evaluated for Nipah virus contamination by using reverse transcription-PCR (RT-PCR). Thirty-six cases of Nipah virus illness were identified; 75% of case-patients died. Multiple peaks of illness occurred, and 33 case-patients had close contact with another Nipah virus patient before their illness. Results from a case-control study showed that contact with 1 patient carried the highest risk for infection (odds ratio 6.7, 95% confidence interval 2.9-16.8, p < 0.001). RT-PCR testing of environmental samples confirmed Nipah virus contamination of hospital surfaces. This investigation provides evidence for person-to-person transmission of Nipah virus. Capacity for person-to-person transmission increases the potential for wider spread of this highly lethal pathogen and highlights the need for infection control strategies for resource-poor settings.",2007,Jul,Emerging infectious diseases,13,7,1031-7,,10.3201/eid1307.061128,18214175,#906,Gurley 2007,"",""
Evidence for henipavirus spillover into human populations in Africa.,Pernet O.; Schneider BS.; Beaty SM.; LeBreton M.; Yun TE.; Park A.; Zachariah TT.; Bowden TA.; Hitchens P.; Ramirez CM.; Daszak P.; Mazet J.; Freiberg AN.; Wolfe ND.; Lee B.,"Zoonotic transmission of lethal henipaviruses (HNVs) from their natural fruit bat reservoirs to humans has only been reported in Australia and South/Southeast Asia. However, a recent study discovered numerous HNV clades in African bat samples. To determine the potential for HNV spillover events among humans in Africa, here we examine well-curated sets of bat (Eidolon helvum, n = 44) and human (n = 497) serum samples from Cameroon for Nipah virus (NiV) cross-neutralizing antibodies (NiV-X-Nabs). Using a vesicular stomatitis virus (VSV)-based pseudoparticle seroneutralization assay, we detect NiV-X-Nabs in 48% and 3-4% of the bat and human samples, respectively. Seropositive human samples are found almost exclusively in individuals who reported butchering bats for bushmeat. Seropositive human sera also neutralize Hendra virus and Gh-M74a (an African HNV) pseudoparticles, as well as live NiV. Butchering bat meat and living in areas undergoing deforestation are the most significant risk factors associated with seropositivity. Evidence for HNV spillover events warrants increased surveillance efforts.",2014,Nov,Nature communications,5,,5342,,10.1038/ncomms6342,25405640,#924,Pernet 2014,"",Risk; Seroprevalence in animals; Seroprevelance in humans
A spatial assessment of Nipah virus transmission in Thailand pig farms using multi-criteria decision analysis.,Thanapongtharm W.; Paul MC.; Wiratsudakul A.; Wongphruksasoong V.; Kalpravidh W.; Wongsathapornchai K.; Damrongwatanapokin S.; Schar D.; Gilbert M.,"Thailand's Central Plain is identified as a contact zone between pigs and flying foxes, representing a potential zoonotic risk. Nipah virus (NiV) has been reported in flying foxes in Thailand, but it has never been found in pigs or humans. An assessment of the suitability of NiV transmission at the spatial and farm level would be useful for disease surveillance and prevention. Multi-criteria decision analysis (MCDA), a knowledge-driven model, was used to map contact zones between local epizootic risk factors as well as to quantify the suitability of NiV transmission at the pixel and farm level. Spatial risk factors of NiV transmission in pigs were identified by experts as being of three types, including i) natural host factors (bat preferred areas and distance to the nearest bat colony), ii) intermediate host factors (pig population density), and iii) environmental factors (distance to the nearest forest, distance to the nearest orchard, distance to the nearest water body, and human population density). The resulting high suitable areas were concentrated around the bat colonies in three provinces in the East of Thailand, including Chacheongsao, Chonburi, and Nakhonnayok. The suitability of NiV transmission in pig farms in the study area was quantified as ranging from very low to medium suitability. We believe that risk-based surveillance in the identified priority areas may increase the chances of finding out NiV and other bat-borne pathogens and thereby optimize the allocation of financial resources for disease surveillance. In the long run, improvements of biosecurity in those priority areas may also contribute to preventing the spread of potential emergence of NiV and other bat-borne pathogens.",2019,Mar,BMC veterinary research,15,1,73,,10.1186/s12917-019-1815-y,30832676,#925,Thanapongtharm 2019,"",""
"Nipah virus infection outbreak with nosocomial and corpse-to-human transmission, Bangladesh.",Sazzad HM.; Hossain MJ.; Gurley ES.; Ameen KM.; Parveen S.; Islam MS.; Faruque LI.; Podder G.; Banu SS.; Lo MK.; Rollin PE.; Rota PA.; Daszak P.; Rahman M.; Luby SP.,"Active Nipah virus encephalitis surveillance identified an encephalitis cluster and sporadic cases in Faridpur, Bangladesh, in January 2010. We identified 16 case-patients; 14 of these patients died. For 1 case-patient, the only known exposure was hugging a deceased patient with a probable case, while another case-patient's exposure involved preparing the same corpse for burial by removing oral secretions and anogenital excreta with a cloth and bare hands. Among 7 persons with confirmed sporadic cases, 6 died, including a physician who had physically examined encephalitis patients without gloves or a mask. Nipah virus-infected patients were more likely than community-based controls to report drinking raw date palm sap and to have had physical contact with an encephalitis patient (29% vs. 4%, matched odds ratio undefined). Efforts to prevent transmission should focus on reducing caregivers' exposure to infected patients' bodily secretions during care and traditional burial practices.",2013,Feb,Emerging infectious diseases,19,2,210-7,,10.3201/eid1902.120971,23347678,#947,Sazzad 2013,Sangeeta Bhatia (2019-04-03 02:59:59)(Screen): Risk factors.; ,Risk
Mapping the risk of Nipah virus spillover into human populations in South and Southeast Asia.,Walsh MG.,"Nipah virus (NiV) is a significant emerging zoonotic pathogen given its wide geographic distribution, and the severe morbidity and high mortality that accompanies infection. Moreover, the layered landscape epidemiology surrounding spillover from reservoir host species to humans is ill-defined. Identifying landscape features that contribute to NiV spillover would likely prove helpful in preventing emergence in human populations. Using an inhomogeneous Poisson model, this study investigated the role of vegetation cover, the human footprint (HFP) and reservoir Pteropus bat distribution to identify the spatial dependence of spillover and map risk across South and Southeast Asia. The spatial model identified HFP (RR=1.08; 95% CI 1.05-1.11) and bat distribution (RR=19.44; 95% CI 1.92-196.7) as significant predictors of NiV risk, while vegetation cover was not significant after accounting for HFP and the presence of Pteropus bats. These findings further inform the landscape epidemiology of NiV and suggest specific conduits for spillover in the landscape. However, more detailed field studies will be required to validate these results.",2015,Sep,Transactions of the Royal Society of Tropical Medicine and Hygiene,109,9,563-71,,10.1093/trstmh/trv055,26179654,#950,Walsh 2015,"",Seroprevalence in animals; Spillover
Evolving epidemiology of Nipah virus infection in Bangladesh: evidence from outbreaks during 2010-2011.,Chakraborty A.; Sazzad HM.; Hossain MJ.; Islam MS.; Parveen S.; Husain M.; Banu SS.; Podder G.; Afroj S.; Rollin PE.; Daszak P.; Luby SP.; Rahman M.; Gurley ES.,"Drinking raw date palm sap is the primary route of Nipah virus (NiV) transmission from bats to people in Bangladesh; subsequent person-to-person transmission is common. During December 2010 to March 2011, we investigated NiV epidemiology by interviewing cases using structured questionnaires, in-depth interviews, and group discussions to collect clinical and exposure histories. We conducted a case-control study to identify risk factors for transmission. We identified 43 cases; 23 were laboratory-confirmed and 20 probable. Thirty-eight (88%) cases died. Drinking raw date palm sap and contact with an infected person were major risk factors; one healthcare worker was infected and for another case transmission apparently occurred through contact with a corpse. In absence of these risk factors, apparent routes of transmission included drinking fermented date palm sap. For the first time, a case was detected in eastern Bangladesh. Identification of new epidemiological characteristics emphasizes the importance of continued NiV surveillance and case investigation.",2016,Jan,Epidemiology and infection,144,2,371-80,,10.1017/S0950268815001314,26122675,#956,Chakraborty 2016,"",""
"Nipah virus outbreak with person-to-person transmission in a district of Bangladesh, 2007.",Homaira N.; Rahman M.; Hossain MJ.; Epstein JH.; Sultana R.; Khan MS.; Podder G.; Nahar K.; Ahmed B.; Gurley ES.; Daszak P.; Lipkin WI.; Rollin PE.; Comer JA.; Ksiazek TG.; Luby SP.,"In February 2007 an outbreak of Nipah virus (NiV) encephalitis in Thakurgaon District of northwest Bangladesh affected seven people, three of whom died. All subsequent cases developed illness 7-14 days after close physical contact with the index case while he was ill. Cases were more likely than controls to have been in the same room (100% vs. 9.5%, OR undefined, P<0.001) and to have touched him (83% vs. 0%, OR undefined, P<0.001). Although the source of infection for the index case was not identified, 50% of Pteropus bats sampled from near the outbreak area 1 month after the outbreak had antibodies to NiV confirming the presence of the virus in the area. The outbreak was spread by person-to-person transmission. Risk of NiV infection in family caregivers highlights the need for infection control practices to limit transmission of potentially infectious body secretions.",2010,Nov,Epidemiology and infection,138,11,1630-6,,10.1017/S0950268810000695,20380769,#960,Homaira 2010,"",""
"Cluster of Nipah virus infection, Kushtia District, Bangladesh, 2007.",Homaira N.; Rahman M.; Hossain MJ.; Nahar N.; Khan R.; Rahman M.; Podder G.; Nahar K.; Khan D.; Gurley ES.; Rollin PE.; Comer JA.; Ksiazek TG.; Luby SP.,"In March 2007, we investigated a cluster of Nipah encephalitis to identify risk factors for Nipah infection in Bangladesh. We defined confirmed Nipah cases by the presence of IgM and IgG antibodies against Nipah virus in serum. Case-patients, who resided in the same village during the outbreak period but died before serum could be collected, were classified as probable cases. We identified three confirmed and five probable Nipah cases. There was a single index case. Five of the secondary cases came in close physical contact to the index case when she was ill. Case-patients were more likely to have physical contact with the index case (71% cases versus 0% controls, p = <0.001). The index case, on her third day of illness, and all the subsequent cases attended the same religious gathering. For three probable cases including the index case, we could not identify any known risk factors for Nipah infection such as physical contact with Nipah case-patients, consumption of raw date palm juice, or contact with sick animals or fruit bats. Though person-to-person transmission remains an important mode of transmission for Nipah infection, we could not confirm the source of infection for three of the probable Nipah case-patients. Continued surveillance and outbreak investigations will help better understand the transmission of Nipah virus and develop preventive strategies.",2010,Oct,PloS one,5,10,e13570,,10.1371/journal.pone.0013570,21042407,#976,Homaira 2010,"",""
Investigating Rare Risk Factors for Nipah Virus in Bangladesh: 2001-2012.,Hegde ST.; Sazzad HM.; Hossain MJ.; Alam MU.; Kenah E.; Daszak P.; Rollin P.; Rahman M.; Luby SP.; Gurley ES.,"Human Nipah encephalitis outbreaks have been identified almost yearly in Bangladesh since 2001. Though raw date palm sap consumption and person-to-person contact are recognized as major transmission pathways, alternative pathways of transmission are plausible and may not have been identified due to limited statistical power in each outbreak. We conducted a risk factor analysis using all 157 cases and 632 controls surveyed in previous investigations during 2004-2012 to identify exposures independently associated with Nipah, since date palm sap was first asked about as an exposure in 2004. To further explore possible rare exposures, we also conducted in-depth interviews with all cases, or proxies, since 2001 that reported no exposure to date palm sap or contact with another case. Cases were 4.9 (95% 3.2-7.7) times more likely to consume raw date palm sap and 7.3 (95% 4.0-13.4) times more likely to have contact with a Nipah case than controls. In-depth interviews revealed that 39/182 (21%) of Nipah cases reporting neither date palm sap consumption nor contact with another case were misclassified. Prevention efforts should be focused on interventions to interrupt transmission through date palm sap consumption and person-to-person contact. Furthermore, pooling outbreak investigation data is a good method for assessing rare exposures.",2016,12,EcoHealth,13,4,720-728,,10.1007/s10393-016-1166-0,27738775,#996,Hegde 2016,"",Risk
The role of landscape composition and configuration on Pteropus giganteus roosting ecology and Nipah virus spillover risk in Bangladesh.,Hahn MB.; Gurley ES.; Epstein JH.; Islam MS.; Patz JA.; Daszak P.; Luby SP.,"Nipah virus has caused recurring outbreaks in central and northwest Bangladesh (the ""Nipah Belt""). Little is known about roosting behavior of the fruit bat reservoir, Pteropus giganteus, or factors driving spillover. We compared human population density and ecological characteristics of case villages and control villages (no reported outbreaks) to understand their role in P. giganteus roosting ecology and Nipah virus spillover risk. Nipah Belt villages have a higher human population density (P < 0.0001), and forests that are more fragmented than elsewhere in Bangladesh (0.50 versus 0.32 patches/km(2), P < 0.0001). The number of roosts in a village correlates with forest fragmentation (r = 0.22, P = 0.03). Villages with a roost containing Polyalthia longifolia or Bombax ceiba trees were more likely case villages (odds ratio [OR] = 10.8, 95% confidence interval [CI] = 1.3-90.6). This study suggests that, in addition to human population density, composition and structure of the landscape shared by P. giganteus and humans may influence the geographic distribution of Nipah virus spillovers.",2014,Feb,The American journal of tropical medicine and hygiene,90,2,247-55,,10.4269/ajtmh.13-0256,24323516,#1007,Hahn 2014,"",Host-pathogen interaction; Risk
Integrated cluster- and case-based surveillance for detecting stage III zoonotic pathogens: an example of Nipah virus surveillance in Bangladesh.,Naser AM.; Hossain MJ.; Sazzad HM.; Homaira N.; Gurley ES.; Podder G.; Afroj S.; Banu S.; Rollin PE.; Daszak P.; Ahmed BN.; Rahman M.; Luby SP.,"This paper explores the utility of cluster- and case-based surveillance established in government hospitals in Bangladesh to detect Nipah virus, a stage III zoonotic pathogen. Physicians listed meningo-encephalitis cases in the 10 surveillance hospitals and identified a cluster when ⩾2 cases who lived within 30 min walking distance of one another developed symptoms within 3 weeks of each other. Physicians collected blood samples from the clustered cases. As part of case-based surveillance, blood was collected from all listed meningo-encephalitis cases in three hospitals during the Nipah season (January-March). An investigation team visited clustered cases' communities to collect epidemiological information and blood from the living cases. We tested serum using Nipah-specific IgM ELISA. Up to September 2011, in 5887 listed cases, we identified 62 clusters comprising 176 encephalitis cases. We collected blood from 127 of these cases. In 10 clusters, we identified a total of 62 Nipah cases: 18 laboratory-confirmed and 34 probable. We identified person-to-person transmission of Nipah virus in four clusters. From case-based surveillance, we identified 23 (4%) Nipah cases. Faced with thousands of encephalitis cases, integrated cluster surveillance allows targeted deployment of investigative resources to detect outbreaks by stage III zoonotic pathogens in resource-limited settings.",2015,Jul,Epidemiology and infection,143,9,1922-30,,10.1017/S0950268814002635,25342551,#1030,Naser 2015,"",Seroprevalence in animals
"Agricultural intensification, priming for persistence and the emergence of Nipah virus: a lethal bat-borne zoonosis.",Pulliam JR.; Epstein JH.; Dushoff J.; Rahman SA.; Bunning M.; Jamaluddin AA.; Hyatt AD.; Field HE.; Dobson AP.; Daszak P.;  .,"Emerging zoonoses threaten global health, yet the processes by which they emerge are complex and poorly understood. Nipah virus (NiV) is an important threat owing to its broad host and geographical range, high case fatality, potential for human-to-human transmission and lack of effective prevention or therapies. Here, we investigate the origin of the first identified outbreak of NiV encephalitis in Malaysia and Singapore. We analyse data on livestock production from the index site (a commercial pig farm in Malaysia) prior to and during the outbreak, on Malaysian agricultural production, and from surveys of NiV's wildlife reservoir (flying foxes). Our analyses suggest that repeated introduction of NiV from wildlife changed infection dynamics in pigs. Initial viral introduction produced an explosive epizootic that drove itself to extinction but primed the population for enzootic persistence upon reintroduction of the virus. The resultant within-farm persistence permitted regional spread and increased the number of human infections. This study refutes an earlier hypothesis that anomalous El Niño Southern Oscillation-related climatic conditions drove emergence and suggests that priming for persistence drove the emergence of a novel zoonotic pathogen. Thus, we provide empirical evidence for a causative mechanism previously proposed as a precursor to widespread infection with H5N1 avian influenza and other emerging pathogens.",2012,Jan,"Journal of the Royal Society, Interface",9,66,89-101,,10.1098/rsif.2011.0223,21632614,#1107,Pulliam 2012,"",Seroprevalence in animals
"Date palm sap linked to Nipah virus outbreak in Bangladesh, 2008.",Rahman MA.; Hossain MJ.; Sultana S.; Homaira N.; Khan SU.; Rahman M.; Gurley ES.; Rollin PE.; Lo MK.; Comer JA.; Lowe L.; Rota PA.; Ksiazek TG.; Kenah E.; Sharker Y.; Luby SP.,"We investigated a cluster of patients with encephalitis in the Manikgonj and Rajbari Districts of Bangladesh in February 2008 to determine the etiology and risk factors for disease. We classified persons as confirmed Nipah cases by the presence of immunoglobulin M antibodies against Nipah virus (NiV), or by the presence of NiV RNA or by isolation of NiV from cerebrospinal fluid or throat swabs who had onset of symptoms between February 6 and March 10, 2008. We classified persons as probable cases if they reported fever with convulsions or altered mental status, who resided in the outbreak areas during that period, and who died before serum samples were collected. For the case-control study, we compared both confirmed and probable Nipah case-patients to controls, who were free from illness during the reference period. We used motion-sensor-infrared cameras to observe bat's contact of date palm sap. We identified four confirmed and six probable case-patients, nine (90%) of whom died. The median age of the cases was 10 years; eight were males. The outbreak occurred simultaneously in two communities that were 44 km apart and separated by a river. Drinking raw date palm sap 2-12 days before illness onset was the only risk factor most strongly associated with the illness (adjusted odds ratio 25, 95% confidence intervals 3.3-∞, p<0.001). Case-patients reported no history of physical contact with bats, though community members often reported seeing bats. Infrared camera photographs showed that Pteropus bats frequently visited date palm trees in those communities where sap was collected for human consumption. This is the second Nipah outbreak in Bangladesh where date palm sap has been implicated as the vehicle of transmission. Fresh date palm sap should not be drunk, unless effective steps have been taken to prevent bat access to the sap during collection.",2012,Jan,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",12,1,65-72,,10.1089/vbz.2011.0656,21923274,#1110,Rahman 2012,"",""
Roosting behaviour and habitat selection of Pteropus giganteus reveals potential links to Nipah virus epidemiology.,Hahn MB.; Epstein JH.; Gurley ES.; Islam MS.; Luby SP.; Daszak P.; Patz JA.,"1. Flying foxes Pteropus spp. play a key role in forest regeneration as seed dispersers and are also the reservoir of many viruses, including Nipah virus in Bangladesh. Little is known about their habitat requirements, particularly in South Asia. Identifying Pteropus habitat preferences could assist in understanding the risk of zoonotic disease transmission broadly, and in Bangladesh, could help explain the spatial distribution of human Nipah virus cases. 2. We analysed characteristics of Pteropus giganteus roosts and constructed an ecological niche model to identify suitable habitat in Bangladesh. We also assessed the distribution of suitable habitat in relation to the location of human Nipah virus cases. 3. Compared to non-roost trees, P. giganteus roost trees are taller with larger diameters, and are more frequently canopy trees. Colony size was larger in densely forested regions and smaller in flood-affected areas. Roosts were located in areas with lower annual precipitation and higher human population density than non-roost sites. 4. We predicted that 2-17% of Bangladesh's land area is suitable roosting habitat. Nipah virus outbreak villages were 2.6 times more likely to be located in areas predicted as highly suitable habitat for P. giganteus compared to non-outbreak villages. 5. Synthesis and applications. Habitat suitability modelling may help identify previously undocumented Nipah outbreak locations and improve our understanding of Nipah virus ecology by highlighting regions where there is suitable bat habitat but no reported human Nipah virus. Conservation and public health education is a key component of P. giganteus management in Bangladesh due to the general misunderstanding and fear of bats that are a reservoir of Nipah virus. Affiliation between Old World fruit bats (Pteropodidae) and people is common throughout their range, and in order to conserve these keystone bat species and prevent emergence of zoonotic viruses, it is imperative that we continue to improve our understanding of Pteropus resource requirements and routes of virus transmission from bats to people. Results presented here can be utilized to develop land management strategies and conservation policies that simultaneously protect fruit bats and public health.",2014,Apr,The Journal of applied ecology,51,2,376-387,,10.1111/1365-2664.12212,24778457,#1115,Hahn 2014,"",Risk
"Convergence of Humans, Bats, Trees, and Culture in Nipah Virus Transmission, Bangladesh.",Gurley ES.; Hegde ST.; Hossain K.; Sazzad HMS.; Hossain MJ.; Rahman M.; Sharker MAY.; Salje H.; Islam MS.; Epstein JH.; Khan SU.; Kilpatrick AM.; Daszak P.; Luby SP.,"Preventing emergence of new zoonotic viruses depends on understanding determinants for human risk. Nipah virus (NiV) is a lethal zoonotic pathogen that has spilled over from bats into human populations, with limited person-to-person transmission. We examined ecologic and human behavioral drivers of geographic variation for risk of NiV infection in Bangladesh. We visited 60 villages during 2011-2013 where cases of infection with NiV were identified and 147 control villages. We compared case villages with control villages for most likely drivers for risk of infection, including number of bats, persons, and date palm sap trees, and human date palm sap consumption behavior. Case villages were similar to control villages in many ways, including number of bats, persons, and date palm sap trees, but had a higher proportion of households in which someone drank sap. Reducing human consumption of sap could reduce virus transmission and risk for emergence of a more highly transmissible NiV strain.",2017,09,Emerging infectious diseases,23,9,1446-1453,,10.3201/eid2309.161922,28820130,#1140,Gurley 2017,"",Case Report
"Nipah Virus Transmission from Bats to Humans Associated with Drinking Traditional Liquor Made from Date Palm Sap, Bangladesh, 2011-2014.",Islam MS.; Sazzad HM.; Satter SM.; Sultana S.; Hossain MJ.; Hasan M.; Rahman M.; Campbell S.; Cannon DL.; Ströher U.; Daszak P.; Luby SP.; Gurley ES.,"Nipah virus (NiV) is a paramyxovirus, and Pteropus spp. bats are the natural reservoir. From December 2010 through March 2014, hospital-based encephalitis surveillance in Bangladesh identified 18 clusters of NiV infection. The source of infection for case-patients in 3 clusters in 2 districts was unknown. A team of epidemiologists and anthropologists investigated these 3 clusters comprising 14 case-patients, 8 of whom died. Among the 14 case-patients, 8 drank fermented date palm sap (tari) regularly before their illness, and 6 provided care to a person infected with NiV. The process of preparing date palm trees for tari production was similar to the process of collecting date palm sap for fresh consumption. Bat excreta was reportedly found inside pots used to make tari. These findings suggest that drinking tari is a potential pathway of NiV transmission. Interventions that prevent bat access to date palm sap might prevent tari-associated NiV infection.",2016,Apr,Emerging infectious diseases,22,4,664-70,,10.3201/eid2204.151747,26981928,#1145,Islam 2016,"",""
"Characterization of the Spatial and Temporal Distribution of Nipah Virus Spillover Events in Bangladesh, 2007-2013.",Cortes MC.; Cauchemez S.; Lefrancq N.; Luby SP.; Jahangir Hossain M.; Sazzad HMS.; Rahman M.; Daszak P.; Salje H.; Gurley ES.,"Nipah virus is a zoonotic virus harbored by bats and lethal to humans. Bat-to-human spillovers occur every winter in Bangladesh. However, there is significant heterogeneity in the number of spillovers detected by district and year that remains unexplained. We analyzed data from all 57 spillovers during 2007-2013 and found that temperature differences explained 36% of the year-to-year variation in the total number of spillovers each winter and that distance to surveillance hospitals explained 45% of spatial heterogeneity. Interventions to prevent human infections may be most important during colder winters. Further work is needed to understand how dynamics of bat infections explains spillover risk.",2018,Apr,The Journal of infectious diseases,217,9,1390-1394,,10.1093/infdis/jiy015,29351657,#1148,Cortes 2018,"",""
Nipah virus infection: current scenario.,Kulkarni DD.; Tosh C.; Venkatesh G.; Senthil Kumar D.,"The emergence of Nipah virus (NiV) infection into the pig population and subsequently into the human population is believed to be due to changes in ecological conditions. In Malaysia, A major NiV outbreak occurred in pigs and humans from September 1998 to April 1999 that resulted in infection of 265 and death of 105 persons. About 1.1 million pigs had to be destroyed to control the outbreak. The disease was recorded in the form of a major outbreak in India in 2001 and then a small incidence in 2007, both the outbreaks in West Bengal only in humans without any involvement of pigs. There were series of human Nipah incidences in Bangladesh from 2001 till 2013 almost every year with mortality exceeding 70 %. The disease transmission from pigs acting as an intermediate host during Malaysian and Singapore outbreaks has changed in NIV outbreaks in India and Bangladesh, transmitting the disease directly from bats to human followed by human to human. The drinking of raw date palm sap contaminated with fruit bat urine or saliva containing NiV is the only known cause of outbreak of the disease in Bangladesh outbreaks. The virus is now known to exist in various fruit bats of Pteropus as well as bats of other genera in a wider belt from Asia to Africa.",2013,Dec,Indian journal of virology : an official organ of Indian Virological Society,24,3,398-408,,10.1007/s13337-013-0171-y,24426305,#1150,Kulkarni 2013,Sangeeta Bhatia (2019-08-24 00:59:09)(Select): Nice table 1; ,""
Origin and evolution of Nipah virus.,Lo Presti A.; Cella E.; Giovanetti M.; Lai A.; Angeletti S.; Zehender G.; Ciccozzi M.,"Nipah virus, member of the Paramyxoviridae family, is classified as a Biosafety Level-4 agent and category C priority pathogen. Nipah virus disease is endemic in south Asia and outbreaks have been reported in Malaysia, Singapore, India, and Bangladesh. Bats of the genus Pteropus appear to be the natural reservoir of this virus. The aim of this study was to investigate the genetic diversity of Nipah virus, to estimate the date of origin and the spread of the infection. The mean value of Nipah virus N gene evolutionary rate, was 6.5 × 10(-4) substitution/site/year (95% HPD: 2.3 × 10(-4)-1.18 × 10(-3)). The time-scaled phylogenetic analysis showed that the root of the tree originated in 1947 (95% HPD: 1888-1988) as the virus entered in south eastern Asiatic regions. The segregation of sequences in two main clades (I and II) indicating that Nipah virus had two different introductions: one in 1995 (95% HPD: 1985-2002) which correspond to clade I, and the other in 1985 (95% HPD: 1971-1996) which correspond to clade II. The phylogeographic reconstruction indicated that the epidemic followed two different routes spreading to the other locations. The trade of infected pigs may have played a role in the spread of the virus. Bats of the Pteropus genus, that are able to travel to long distances, may have contributed to the spread of the infection. Negatively selected sites, statistically supported, could reflect the stability of the viral N protein.",2016,Mar,Journal of medical virology,88,3,380-8,,10.1002/jmv.24345,26252523,#1171,LoPresti 2016,"",Seroprevalence in animals
"Tackling a global epidemic threat: Nipah surveillance in Bangladesh, 2006-2021.",Satter SM; Aquib WR; Sultana S; Sharif AR; Nazneen A; Alam MR; Siddika A; Akther Ema F; Chowdhury KIA; Alam AN; Rahman M; Klena JD; Rahman MZ; Banu S; Shirin T; Montgomery JM,"Human Nipah virus (NiV) infection is an epidemic-prone disease and since the first recognized outbreak in Bangladesh in 2001, human infections have been detected almost every year. Due to its high case fatality rate and public health importance, a hospital-based Nipah sentinel surveillance was established in Bangladesh to promptly detect Nipah cases and respond to outbreaks at the earliest. The surveillance has been ongoing till present. The hospital-based sentinel surveillance was conducted at ten strategically chosen tertiary care hospitals distributed throughout Bangladesh. The surveillance staff ensured that routine screening, enrollment, data, and specimen collection from suspected Nipah cases were conducted daily. The specimens were then processed and transported to the reference laboratory of Institute of Epidemiology, Disease Control and Research (IEDCR) and icddr,b for confirmation of diagnosis through serology and molecular detection. From 2006 to 2021, through this hospital-based surveillance platform, 7,150 individuals were enrolled and tested for Nipah virus. Since 2001, 322 Nipah infections were identified in Bangladesh, 75% of whom were laboratory confirmed cases. Half of the reported cases were primary cases (162/322) having an established history of consuming raw date palm sap (DPS) or tari (fermented date palm sap) and 29% were infected through person-to-person transmission. Since the initiation of surveillance, 68% (218/322) of Nipah cases from Bangladesh have been identified from various parts of the country. Fever, vomiting, headache, fatigue, and increased salivation were the most common symptoms among enrolled Nipah patients. Till 2021, the overall case fatality rate of NiV infection in Bangladesh was 71%. This article emphasizes that the overall epidemiology of Nipah virus infection in Bangladesh has remained consistent throughout the years. This is the only systematic surveillance to detect human NiV infection globally. The findings from this surveillance have contributed to early detection of NiV cases in hospital settings, understanding of Nipah disease epidemiology, and have enabled timely public health interventions for prevention and containment of NiV infection. Although we still have much to learn regarding the transmission dynamics and risk factors of human NiV infection, surveillance has played a significant role in advancing our knowledge in this regard.",2023,Sep,PLoS Negl Trop Dis,17,9,e0011617,,10.1371/journal.pntd.0011617,37756301,#2709,Satter 2023,"",""
"Inference of Nipah virus evolution, 1999-2015.",Whitmer SLM; Lo MK; Sazzad HMS; Zufan S; Gurley ES; Sultana S; Amman B; Ladner JT; Rahman MZ; Doan S; Satter SM; Flora MS; Montgomery JM; Nichol ST; Spiropoulou CF; Klena JD,"Despite near-annual human outbreaks of Nipah virus (NiV) disease in Bangladesh, typically due to individual spillover events from the local bat population, only twenty whole-genome NiV sequences exist from humans and ten from bats. NiV whole-genome sequences from annual outbreaks have been challenging to generate, primarily due to the low viral load in human throat swab and serum specimens. Here, we used targeted enrichment with custom NiV-specific probes and generated thirty-five additional unique full-length genomic sequences directly from human specimens and viral isolates. We inferred the temporal and geographic evolutionary history of NiV in Bangladesh and expanded a tool to visualize NiV spatio-temporal spread from a Bayesian continuous diffusion analysis. We observed that strains from Bangladesh segregated into two distinct clades that have intermingled geographically in Bangladesh over time and space. As these clades expanded geographically and temporally, we did not observe evidence for significant branch and site-specific selection, except for a single site in the Henipavirus L polymerase. However, the Bangladesh 1 and 2 clades are differentiated by mutations initially occurring in the polymerase, with additional mutations accumulating in the N, G, F, P, and L genes on external branches. Modeling the historic geographical and temporal spread demonstrates that while widespread, NiV does not exhibit significant genetic variation in Bangladesh. Thus, future public health measures should address whether NiV within in the bat population also exhibits comparable genetic variation, if zoonotic transmission results in a genetic bottleneck and if surveillance techniques are detecting only a subset of NiV.",2021,Jan,Virus Evol,7,1,veaa062,,10.1093/ve/veaa062,34422315,#2752,WhitmerSLM 2021,Tristan Naidoo (2024-10-16 23:37:48)(Screen): Possibly a substitution rate; ,""
