Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Lassa Virus Seroprevalence in Sibirilia Commune, Bougouni District, Southern Mali","Sogoba, Nafomon; Rosenke, Kyle; Adjemian, Jennifer; Diawara, Sory Ibrahim; Maiga, Ousmane; Keita, Moussa; Konate, Drissa; Keita, Abdoul Salam; Sissoko, Ibrahim; Boisen, Matt; Nelson, Diana; Oottamasathien, Darin; Millett, Molly; Garry, Robert F.; Branco, Luis M.; Traore, Sekou F.; Doumbia, Seydou; Feldmann, Heinz; Safronetz, David","Lassa virus (LASV) is endemic to several nations in West Africa. In Mali, LASV was unknown until an exported case of Lassa fever was reported in 2009. Since that time, rodent surveys have found evidence of LASV-infected Mastomys natalensis rats in several communities in southern Mali, near the border with Cote d'Ivoire. Despite increased awareness, to date only a single case of Lassa fever has been confirmed in Mali. We conducted a survey to determine the prevalence of LASV exposure among persons in 3 villages in southern Mali where the presence of infected rodents has been documented. LASV IgG seroprevalence ranged from 14.5% to 44% per village. No sex bias was noted; however, seropositivity rates increased with participant age. These findings confirm human LASV exposure in Mali and suggest that LASV infection/Lassa fever is a potential public health concern in southern Mali.",2016,Apr,Emerging Infectious Diseases,22,4,657-663,WOS:000372688500010,,,#130,Sogoba 2016,"",""
Genomic Analysis of Lassa Virus during an Increase in Cases in Nigeria in 2018,"Siddle, Katherine J.; Eromon, Philomena; Barnes, Kayla G.; Mehta, Samar; Oguzie, Judith U.; Odia, Ikponmwosa; Schaffner, Stephen F.; Winnicki, Sarah M.; Shah, Rickey R.; Qu, James; Wohl, Shirlee; Brehio, Patrick; Iruolagbe, Christopher; Aiyepada, John; Uyigue, Eghosa; Akhilomen, Patience; Okonofua, Grace; Ye, Simon; Kayode, Tolulope; Ajogbasile, Fehintola; Uwanibe, Jessica; Gaye, Amy; Momoh, Mambu; Chak, Bridget; Kotliar, Dylan; Carter, Amber; Gladden-Young, Adrianne; Freije, Catherine A.; Omoregie, Omigie; Osiemi, Blessing; Muoebonam, Ekene B.; Airende, Michael; Enigbe, Rachael; Ebo, Benevolence; Nosamiefan, Iguosadolo; Oluniyi, Paul; Nekoui, Mahan; Ogbaini-Emovon, Ephraim; Path, F. M. C.; Garry, Robert F.; Andersen, Kristian G.; Park, Daniel J.; Yozwiak, Nathan L.; Akpede, George; Ihekweazu, Chikwe; Tomori, Oyewale; Okogbenin, Sylvanus; Folarin, Onikepe A.; Okokhere, Peter O.; MacInnis, Bronwyn L.; Sabeti, Pardis C.; Happi, Christian T.","During 2018, an unusual increase in Lassa fever cases occurred in Nigeria, raising concern among national and international public health agencies. We analyzed 220 Lassa virus genomes from infected patients, including 129 from the 2017-2018 transmission season, to understand the viral populations underpinning the increase. A total of 14 initial genomes from 2018 samples were generated at Redeemer's University in Nigeria, and the findings were shared with the Nigerian Center for Disease Control in real time. We found that the increase in cases was not attributable to a particular Lassa virus strain or sustained by human-to-human transmission. Instead, the data were consistent with ongoing cross-species transmission from local rodent populations. Phylogenetic analysis also revealed extensive viral diversity that was structured according to geography, with major rivers appearing to act as barriers to migration of the rodent reservoir.",2018,Nov 1,New England Journal of Medicine,379,18,1745-1753,WOS:000448891600009,,,#152,Siddle 2018,Natsuko Imai (2019-10-02 23:57:43)(Select): incidence curve shown; ,Phylogenetic studies (e.g. source-sink)
"Lassa Fever 2016 Outbreak in Plateau State, Nigeria-The Changing Epidemiology and Clinical Presentation","Shehu, Nathan Y.; Gomerep, Simji S.; Isa, Samson E.; Iraoyah, Kelly O.; Mafuka, Johnson; Bitrus, Nandom; Dachom, Matthias C.; Ogwuche, John E.; Onukak, Asukwo E.; Onyedibe, Kenneth I.; Ogbaini-Emovon, Ephraim; Egah, Daniel Z.; Mateer, Elizabeth J.; Paessler, Slobodan","Lassa fever (LF) outbreaks in Nigeria mostly occur in rural areas and during the dry season, peaking between December through February. Fever is a cardinal presenting feature among the myriad manifestations of LF. Thirty four patients with clinical diagnosis of LF were analyzed. However, only 11 (32%) LASV infections were confirmed by RT-PCR. The 2016 LF outbreak showed a preferential urban occurrence and a high case fatality. Fever (>= 38 degrees C) was not detected in over a fourth of the patients at the time of examination. Bleeding diathesis was the most common presentation while abdominal pain and headache were present in more than half of the confirmed cases. Changes in the geographical distribution and clinical presentation may have implications for disease control efforts and the risk of transmission, both locally and internationally. In order to guide interventions, public health authorities should be aware that the epidemic patterns may be changing.",2018,Aug 29,Frontiers in Public Health,6,,,WOS:000443201800001,,,#167,Shehu 2018,"",""
Lassa Fever in Children,"Sharp, P. C.",,1982,1982,Journal of Infection,4,1,73-77,WOS:A1982NB02700012,,,#168,Sharp 1982,Natsuko Imai (2019-03-28 03:22:45)(Screen): https://www.journalofinfection.com/article/S0163-4453(82)91133-1/abstract; ,""
Lassa Fever in Post-Conflict Sierra Leone,"Shaffer, Jeffrey G.; Grant, Donald S.; Schieffelin, John S.; Boisen, Matt L.; Goba, Augustine; Hartnett, Jessica N.; Levy, Danielle C.; Yenni, Rachael E.; Moses, Lina M.; Fullah, Mohammed; Momoh, Mambo; Fonnie, Mbalu; Fonnie, Richard; Kanneh, Lansana; Koroma, Veronica J.; Kargbo, Kandeh; Ottomassathien, Darin; Muncy, Ivana J.; Jones, Abigail B.; Illick, Megan M.; Kulakosky, Peter C.; Haislip, Allyson M.; Bishop, Christopher M.; Elliot, Deborah H.; Brown, Bethany L.; Zhu, Hu; Hastie, Kathryn M.; Andersen, Kristian G.; Gire, Stephen K.; Tabrizi, Shervin; Tariyal, Ridhi; Stremlau, Mathew; Matschiner, Alex; Sampey, Darryl B.; Spence, Jennifer S.; Cross, Robert W.; Geisbert, Joan B.; Folarin, Onikepe A.; Happi, Christian T.; Pitts, Kelly R.; Geske, F. Jon; Geisbert, Thomas W.; Saphire, Erica Ollmann; Robinson, James E.; Wilson, Russell B.; Sabeti, Pardis C.; Henderson, Lee A.; Khan, S. Humarr; Bausch, Daniel G.; Branco, Luis M.; Garry, Robert F.","Background: Lassa fever (LF), an often-fatal hemorrhagic disease caused by Lassa virus (LASV), is a major public health threat in West Africa. When the violent civil conflict in Sierra Leone (1991 to 2002) ended, an international consortium assisted in restoration of the LF program at Kenema Government Hospital (KGH) in an area with the world's highest incidence of the disease. Methodology/Principal Findings: Clinical and laboratory records of patients presenting to the KGH Lassa Ward in the postconflict period were organized electronically. Recombinant antigen-based LF immunoassays were used to assess LASV antigenemia and LASV-specific antibodies in patients who met criteria for suspected LF. KGH has been reestablished as a center for LF treatment and research, with over 500 suspected cases now presenting yearly. Higher case fatality rates (CFRs) in LF patients were observed compared to studies conducted prior to the civil conflict. Different criteria for defining LF stages and differences in sensitivity of assays likely account for these differences. The highest incidence of LF in Sierra Leone was observed during the dry season. LF cases were observed in ten of Sierra Leone's thirteen districts, with numerous cases from outside the traditional endemic zone. Deaths in patients presenting with LASV antigenemia were skewed towards individuals less than 29 years of age. Women self-reporting as pregnant were significantly overrepresented among LASV antigenemic patients. The CFR of ribavirin-treated patients presenting early in acute infection was lower than in untreated subjects. Conclusions/Significance: Lassa fever remains a major public health threat in Sierra Leone. Outreach activities should expand because LF may be more widespread in Sierra Leone than previously recognized. Enhanced case finding to ensure rapid diagnosis and treatment is imperative to reduce mortality. Even with ribavirin treatment, there was a high rate of fatalities underscoring the need to develop more effective and/or supplemental treatments for LF.",2014,Mar,PLoS Neglected Tropical Diseases,8,3,,WOS:000337348800031,,,#174,Shaffer 2014,"",""
"Undiagnosed Acute Viral Febrile Illnesses, Sierra Leone","Schoepp, Randal J.; Rossi, Cynthia A.; Khan, Sheik H.; Goba, Augustine; Fair, Joseph N.","Sierra Leone in West Africa is in a Lassa fever hyperendemic region that also includes Guinea and Liberia. Each year, suspected Lassa fever cases result in submission of approximate to 500-700 samples to the Kenema Government Hospital Lassa Diagnostic Laboratory in eastern Sierra Leone. Generally only 30%-40% of samples tested are positive for Lassa virus (LASV) antigen and/or LASV-specific IgM; thus, 60%-70% of these patients have acute diseases of unknown origin. To investigate what other arthropod-borne and hemorrhagic fever viral diseases might cause serious illness in this region and mimic Lassa fever, we tested patient serum samples that were negative for malaria parasites and LASV. Using IgM-capture ELISAs, we evaluated samples for antibodies to arthropod-borne and other hemorrhagic fever viruses. Approximately 25% of LASV-negative patients had IgM to dengue, West Nile, yellow fever, Rift Valley fever, chikungunya, Ebola, and Marburg viruses but not to Crimean-Congo hemorrhagic fever virus.",2014,Jul,Emerging Infectious Diseases,20,7,1176-1182,WOS:000338389900011,,,#197,Schoepp 2014,"David Jorgensen (2019-10-24 01:38:17)(Select): not a representative sample, only taken from those with LASV symptoms; ",""
A Negative Human Serosurvey of Hemorrhagic-Fever Viruses in Djibouti,"Salah, S.; Fox, E.; Abbatte, E. A.; Constantine, N. T.; Asselin, P.; Soliman, A. K.",,1988,Oct-Dec,Annales De L Institut Pasteur-Virology,139,4,439-442,WOS:A1988R683700005,,,#225,Salah 1988,"",""
Factors Associated with Mortality in Febrile Patients in a Government Referral Hospital in the Kenema District of Sierra Leone,"Roth, Prerana J.; Grant, Donald S.; Ngegbai, Amara S.; Schieffelin, John; McClelland, R. Scott; Jarrett, Olamide D.","There is a paucity of data on the etiologies and outcomes of febrile illness in rural Sierra Leone, especially in the Lassa-endemic district of Kenema. We conducted a retrospective study of patients with subjective or documented fever (T >= 38.0 degrees C) who were admitted to a rural tertiary care hospital in Kenema between November 1, 2011 and October 31, 2012. Of 854 patients admitted during the study period, 429 (50.2%) patients had fever on admission. The most common diagnoses were malaria (27.3%), pneumonia (5.1%), and Lassa fever (4.9%). However, 53.4% of febrile patients had no diagnosis at discharge. The in-hospital mortality rate was 18.9% and associated with documented temperature >= 38.0 degrees C (adjusted odds ratio [AOR] = 2.89, P = 0.001) and lack of diagnosis at discharge (AOR = 2.04, P = 0.03). Failure to diagnose the majority of febrile adults and its association with increased mortality highlight the need for improved diagnostic capacity to improve patient outcomes.",2015,Jan,American Journal of Tropical Medicine and Hygiene,92,1,172-177,WOS:000348180600033,,,#252,Roth 2015,"",""
Serological survey for the detection of antibodies to lassa virus in India,"Rodrigues, F. M.; Gupta, N. P.; Pinto, B. D.",,1978,1978-Jan-16,Journal of the Indian Medical Association,70,2,25-8,MEDLINE:659905,,,#263,Rodrigues 1978,Natsuko Imai (2019-10-23 23:37:13)(Select): paper copy; ,""
"Arbovirus Infections and Viral Hemorrhagic Fevers in Uganda - a Serological Survey in Karamoja District, 1984","Rodhain, F.; Gonzalez, J. P.; Mercier, E.; Helynck, B.; Larouze, B.; Hannoun, C.",,1989,Nov-Dec,Transactions of the Royal Society of Tropical Medicine and Hygiene,83,6,851-854,WOS:A1989CE46400038,,,#264,Rodhain 1989,"",""
Environmental-mechanistic modelling of the impact of global change on human zoonotic disease emergence: a case study of Lassa fever,"Redding, David W.; Moses, Lina M.; Cunningham, Andrew A.; Wood, James; Jones, Kate E.","Human infectious diseases are a significant threat to global human health and economies (e.g. Ebola, SARs), with the majority of infectious diseases having an animal source (zoonotic). Despite their importance, the lack of a quantitative predictive framework hampers our understanding of how spillovers of zoonotic infectious diseases into the human population will be impacted by global environmental stressors. Here, we create an environmental-mechanistic model for understanding the impact of global change on the probability of zoonotic disease reservoir host-human spillover events. As a case study, we focus on Lassa fever virus (LAS). We first quantify the spatial determinants of LAS outbreaks, including the phylogeographic distribution of its reservoir host Natal multimammate rat (Mastomys natalensis) (LAS host). Secondly, we use these determinants to inform our environmental-mechanistic model to estimate present-day LAS spillover events and the predicted impact of climate change, human population growth and land use by 2070. We find phylogeographic evidence to suggest that LAS is confined to only one clade of LAS host (Western clade Mastomys natalensis) and that the probability of its occurrence was a major determinant of the spatial variation in LAS historical outbreaks (698%), along with human population density (204%). Our estimates for present-day LAS spillover events from our environmental-mechanistic model were consistent with observed patterns, and we predict an increase in events per year by 2070 from 195125 to 406725 within the LAS endemic western African region. Of the component drivers, climate change and human population growth are predicted to have the largest effects by increasing landscape suitability for the host and human-host contact rates, while land-use change has only a weak impact on the number of future events. LAS spillover events did not respond uniformly to global environmental stressors, and we suggest that understanding the impact of global change on zoonotic infectious disease emergence requires an understanding of how reservoir host species respond to environmental change. Our environmental-mechanistic modelling methodology provides a novel generalizable framework to understand the impact of global change on the spillover of zoonotic diseases.",2016,Jun,Methods in Ecology and Evolution,7,6,646-655,WOS:000378731900003,,,#285,Redding 2016,"",Phylogenetic studies (e.g. source-sink); Spillover
A Prospective-Study of Maternal and Fetal-Outcome in Acute Lassa Fever Infection during Pregnancy,"Price, M. E.; Fisherhoch, S. P.; Craven, R. B.; McCormick, J. B.",,1988,Sep 3,British Medical Journal,297,6648,584-587,WOS:A1988Q016800019,,,#307,Price 1988,"Natsuko Imai (2019-03-28 03:00:06)(Screen): Several viral infections have been reported to result in more severe disease in pregnant than non-pregnant women, but the relative risks have not been well characterised. This has now been done for Lassa fever in a prospective study of 68 pregnant and 79 non-pregnant women who were admitted to hospital in Sierra Leone with confirmed Lassa fever. Lassa fever was the main cause of maternal mortality in the hospital, accounting for 25% of maternal deaths. Twelve of 40 patients in the third trimester died, compared with two of 28 in the first two trimesters and 10 of 79 non-pregnant women. The odds ratio for death in the third trimester compared with the first two trimesters was 5.57 (95% confidence intervals 1.02 to 30.26). The condition of the mother improved rapidly after evacuation of the uterus, whether by spontaneous abortion, evacuation of retained products of conception, or normal delivery; 10 of 26 women without uterine evacuation died, but only four of 39 women with evacuation died (p = 0.0016). The odds ratio for death with pregnancy intact was 5.47 (95% confidence interval 1.35 to 22.16). Fetal and neonatal loss was 87%. The risk of death from Lassa fever in the third trimester is significantly higher than that in the first two trimesters and higher than that for non-pregnant women, but evacuation of the uterus can significantly improve the mother's chance of survival.; ",""
Lassa Fever - Response to an Imported Case,"Zweighaft, R. M.; Fraser, D. W.; Hattwick, M. A. W.; Winkler, W. G.; Jordan, W. C.; Alter, M.; Wolfe, M.; Wulff, H.; Johnson, K. M.",,1977,1977,New England Journal of Medicine,297,15,803-807,WOS:A1977DX39100004,,,#351,Zweighaft 1977,"Natsuko Imai (2019-10-24 01:05:18)(Select): negative seroprevalence in healthy high risk population; Natsuko Imai (2019-10-24 01:04:31)(Select): paper copy; David Jorgensen (2019-03-29 04:33:34)(Screen): In February, 1976, a Peace Corps worker returned to the United States from Sierra Leone with an undiagnosed illness later recognized as Lassa fever. To assess the risk of transmission and to contain a potential outbreak, we identified 552 contacts as having had exposure to the patient before the start of strict isolation procedures, and maintained intensive surveillance on these contacts for 21 days. At the end of the surveillance period, no illness had developed in contacts. One month later, a serologic survey among 29 of the contacts judged to be at high risk gave no evidence of infection. In response to the importation of this communicable and highly fatal disease, procedures for the isolation of the patient, the identification, surveillance and management of contacts and the handling of laboratory specimens were developed and implemented. These procedures could be adapted to future introductions of highly contagious diseases.; ",""
Viral-Infections in Travelers from Tropical Africa,"Woodruff, A. W.; Bowen, E. T. W.; Platt, G. S.",,1978,1978,British Medical Journal,1,6118,956-958,WOS:A1978EU64900012,,,#398,Woodruff 1978,"Natsuko Imai (2019-03-29 01:58:34)(Screen): negative seroprevalence; Natsuko Imai (2019-03-29 01:58:27)(Screen): Examination of sera from 86 travellers to Britain from tropical Africa disclosed evidence of past infection with 10 identifiable viruses, of which the most important were O'nyong-nyong, dengue, chikungunya, and Ntaya. The findings indicate that infection with O'nyong-nyong may be acquired sporadically in Nigeria, Ghana, and Sierra Leone, where it has not previously been identified. Chikungunya infection had not been recorded in West Africa other than Nigeria and Senegal. Patients from Sierra Leone and contiguous Liberia had antibodies to this infection. An outbreak of dengue fever in the Seychelles in early 1977 was confirmed. Ntaya virus, though known in Uganda, Cameroon, and Zaire, appears also to be transmitted in Kenya, Nigeria, and Zambia. Clinical studies indicated that chikungunya infection may present with alimentary features, possibly with jaundice. The clinical features of Ntaya infection may include bizarre neurological manifestations in addition to fever. The absence of Lassa antibodies among these travellers suggested that this infection is not a common hazard among such persons.; ",""
Lassa Fever - Study of 23 Hospital Cases,"White, H. A.",,1972,1972,Transactions of the Royal Society of Tropical Medicine and Hygiene,66,3,390-&,WOS:A1972M935400002,,,#416,White 1972,"",""
"The rubber plantation environment and Lassa fever epidemics in Liberia, 2008-2012: a spatial regression","Olugasa, Babasola O.; Dogba, John B.; Ogunro, Bamidele; Odigie, Eugene A.; Nykoi, Jomah; Ojo, Johnson F.; Taiwo, Olalekan; Kamara, Abraham; Mulbah, Charles K.; Fasunla, Ayotunde J.","As Lassa fever continues to be a public health challenge in West Africa, it is critical to produce good maps of its risk pattern for use in active surveillance and control intervention. We identified eight spatial features related to the rubber plantation environment and used them as explanatory variables for Lassa fever (LF) outbreaks on the Uniroyal Liberian Agricultural Company (LAC) rubber plantation environment in Grand Bassa County, Liberia. We computed classical and spatial lag regression models on all spatial features, including proximity of residential camp to rubber tree-edge, main road in the plantation, LAC hospital, rice farmland, household refuse dump, human population density, post-harvest storage density of rice and density of rodent deterrent on rice storage. We found significant (p=0.0024) spatial autocorrelation between LF cases and the spatial features we have considered. We concluded that the rubber plantation environment influenced Mastomys species' breeding and transmission of Lassa virus along spatial scale to humans. The risk factors identified in this study offered a baseline for more effective surveillance and control of LF in the post-civil conflict Liberia.",2014,2014-Oct,Spatial and spatio-temporal epidemiology,11,,163-74,MEDLINE:25457605,,,#441,Olugasa 2014,"",""
Genetic characterization of Lassa virus strains isolated from 2012 to 2016 in southeastern Nigeria,"Oloniniyi, Olamide K.; Unigwe, Uche S.; Okada, Sayaka; Kimura, Mayuko; Koyano, Shota; Miyazaki, Yukiko; Iroezindu, Michael O.; Ajayi, Nnenna A.; Chukwubike, Chinedu M.; Chika-Igwenyi, Nneka M.; Ndu, Anne C.; Nwidi, Damian U.; Abe, Haruka; Urata, Shuzo; Kurosaki, Yohei; Yasuda, Jiro","CLassa virus (LASV) is endemic in parts of West Africa where it causes Lassa fever (LF), a viral hemorrhagic fever with frequent fatal outcomes. The diverse LASV strains are grouped into six major lineages based on the geographical location of the isolated strains. In this study, we have focused on the lineage II strains from southern Nigeria. We determined the viral sequences from positive cases of LF reported at tertiary hospitals in Ebonyi and Enugu between 2012 and 2016. Reverse transcription-polymerase chain reaction (RT-PCR) showed that 29 out of 123 suspected cases were positive for the virus among which 11 viral gene sequences were determined. Phylogenetic analysis of the complete coding sequences of the four viral proteins revealed that lineage II strains are broadly divided into two genetic clades that diverged from a common ancestor 195 years ago. One clade, consisting of strains from Ebonyi and Enugu, was more conserved than the other from Irrua, although the four viral proteins were evolving at similar rates in both clades. These results suggested that the viruses of these clades have been distinctively evolving in geographically separate parts of southern Nigeria. Furthermore, the epidemiological data of the 2014 outbreak highlighted the role of human-to-human transmission in this outbreak, which was supported by phylogenetic analysis showing that 13 of the 16 sequences clustered together. These results provide new insights into the evolution of LASV in southern Nigeria and have important implications for vaccine development, diagnostic assay design, and LF outbreak management.",2018,Nov,PLoS Neglected Tropical Diseases,12,11,,WOS:000452162500067,,,#444,Oloniniyi 2018,Natsuko Imai (2019-10-02 23:01:29)(Select): evolutionary rates; ,""
