,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,perg_abstract_result,perg_fulltext_result
10,Domestic and synanthropic zoonoses,"Webber, R.","This chapter discusses the clinical features, diagnosis, transmission, incubation and transmission periods, occurrence, distribution, control, prevention, treatment (e.g., drug therapy, surgery) and surveillance of different domestic and synanthropic zoonoses, including rabies, toxocariasis, larva migrans, toxoplasmosis, brucellosis, anthrax, leptospirosis and lassa fever.",2005.0,,,,,269-283,CABI:20083014628,,,#15,Webber 2005,David Jorgensen (2019-03-29 04:53:20)(Screen): book; ,,EXCLUDE,EXCLUDE
11,Diseases transmitted via body fluids,"Webber, R.","This chapter describes the clinical features, diagnosis, transmission, incubation and transmission periods, occurrence, distribution, control, prevention, treatment (e.g., drug therapy) and surveillance of diseases transmitted through body fluids, including yaws, pinta, endemic and venereal syphilis, gonorrhoea, non-gonococcal urethritis, lymphogranuloma venereum, granuloma inguinale, chancroid, genital herpes, human papillomavirus, human immunodeficiency virus, hepatitis B, hepatitis C, hepatitis delta, Ebola haemorrhagic fever, Marburg haemorrhagic fever, and Lassa and Crimean-Congo haemorrhagic fever.",2005.0,,,,,178-197,CABI:20083014625,,,#16,Webber 2005,"Natsuko Imai (2019-03-29 01:05:51)(Screen): book, exclude; ",,EXCLUDE,EXCLUDE
12,Problems of infections relating to international travel,"Webb, R. C.","Every year we see an increasing number of people travelling overseas. Whilst many confine their travel to Europe, South East Asia and North America, more and more people are visiting other less familiar countries where diseases not encountered in Australia occur. An awareness of the existence of such diseases and appropriate precautions against them should minimize the risk of infection.",1978.0,1978-Nov,Australian family physician,7,11,1370-84,MEDLINE:570384,,,#17,Webb 1978,,,EXCLUDE,EXCLUDE
13,Structure of the Lassa virus glycan shield provides a model for immunological resistance,"Watanabe, Yasunori; Raghwani, Jayna; Allen, Joel D.; Seabright, Gemma E.; Li, Sai; Moser, Felipe; Huiskonen, Juha T.; Strecker, Thomas; Bowden, Thomas A.; Crispin, Max","Lassa virus is an Old World arenavirus endemic to West Africa that causes severe hemorrhagic fever. Vaccine development has focused on the envelope glycoprotein complex (GPC) that extends from the virion envelope. The often inadequate antibody immune response elicited by both vaccine and natural infection has been, in part, attributed to the abundance of N-linked glycosylation on the GPC. Here, using a virus-like-particle system that presents Lassa virus GPC in a native-like context, we determine the composite population of each of the N-linked glycosylation sites presented on the trimeric GPC spike. Our analysis reveals the presence of underprocessed oligomannose-type glycans, which form punctuated clusters that obscure the proteinous surface of both the GP1 attachment and GP2 fusion glycoprotein subunits of the Lassa virus GPC. These oligomannose clusters are seemingly derived as a result of sterically reduced accessibility to glycan processing enzymes, and limited amino acid diversification around these sites supports their role protecting against the humoral immune response. Combined, our data provide a structure-based blueprint for understanding how glycans render the glycoprotein spikes of Lassa virus and other Old World arenaviruses immunologically resistant targets.",2018.0,Jul 10,Proceedings of the National Academy of Sciences of the United States of America,115,28,7320-7325,WOS:000438050900066,,,#19,Watanabe 2018,,,EXCLUDE,EXCLUDE
14,Mammarenaviral Infection Is Dependent on Directional Exposure to and Release from Polarized Intestinal Epithelia,"Warner, Nikole L.; Jokinen, Jenny D.; Beier, Juliane I.; Sokoloski, Kevin J.; Lukashevich, Igor S.","Mammarenavirusesare single-stranded RNA viruses with a bisegmented ambisense genome. Ingestion has been shown as a natural route of transmission for both Lassa virus (LASV) and Lymphocytic choriomeningitis virus (LCMV). Due to the mechanism of transmission, epithelial tissues are among the first host cells to come in contact with the viruses, and as such they potentially play a role in spread of virus to naive hosts. The role of the intestinal epithelia during arenavirus infection remains to be uncharacterized. We have utilized a well-established cell culture model, Caco-2, to investigate the role of intestinal epithelia during intragastric infection. We found that LCMV-Armstrong, LCMV-WE, and Mopeia (MOPV) release infectious progeny via similar patterns. However, the reassortant virus, ML-29, containing the L segment of MOPV and S segment of LASV, exhibits a unique pattern of viral release relative to LCMV and MOPV. Furthermore, we have determined attachment efficacy to Caco-2 cells is potentially responsible for observed replication kinetics of these viruses in a polarized Caco-2 cell model. Collectively, our data shows that viral dissemination and interaction with intestinal epithelia may be host, tissue, and viral specific.",2018.0,Feb,Viruses-Basel,10,2,,WOS:000427544100025,,,#20,Warner 2018,,,EXCLUDE,EXCLUDE
15,Current research for a vaccine against Lassa hemorrhagic fever virus,"Warner, Bryce M.; Safronetz, David; Stein, Derek R.","Lassa virus (LASV) is a rodent-borne arenavirus endemic to several West African countries that causes Lassa fever (LF). LF is typically mild but it can cause severe disease characterized by hemorrhagic fever and multi-organ failure. A current outbreak of LASV in Nigeria has seen greater than 300 cases with a case fatality rate of 22%. Currently, there are limited treatment options and no vaccine candidates are approved to prevent LASV infection. The Coalition for Epidemic Preparedness Innovations has identified LASV as an emerging pathogen of high consequence and this has resulted in a push for several preclinical vaccine candidates to be advanced toward clinical trials. Here, we discuss several important aspects of LASV infection including immunobiology, immune evasion, and correlates of protection against LF, which have been identified through animal models and human infections. In addition, we discuss several vaccine candidates that have shown efficacy in animal models that could be advanced toward clinical trials. The increased fatality rate seen in the recent LASV outbreak in Nigeria highlights the importance of developing effective treatment and prevention strategies against LF. The spike in LASV cases seen in West Africa has the potential for increased mortality and human-to-human transmission, making the development and testing of effective vaccines for LASV critical.",2018.0,2018,Drug Design Development and Therapy,12,,2519-2527,WOS:000441738100002,,,#21,Warner 2018,,Vaccine,EXCLUDE,EXCLUDE
16,Structure-function relationship of the mammarenavirus envelope glycoprotein,"Wang, Wei; Zhou, Zheng; Zhang, Leike; Wang, Shaobo; Xiao, Gengfu","Mammarenaviruses, including lethal pathogens such as Lassa virus and Junin virus, can cause severe hemorrhagic fever in humans. Entry is a key step for virus infection, which starts with binding of the envelope glycoprotein (GP) to receptors on target cells and subsequent fusion of the virus with target cell membranes. The GP precursor is synthesized as a polypeptide, and maturation occurs by two cleavage events, yielding a tripartite GP complex (GPC) formed by a stable signal peptide (SSP), GP1 and GP2. The unique retained SSP interacts with GP2 and plays essential roles in virion maturation and infectivity. GP1 is responsible for binding to the cell receptor, and GP2 is a class I fusion protein. The native structure of the tripartite GPC is unknown. GPC is critical for the receptor binding, membrane fusion and neutralization antibody recognition. Elucidating the molecular mechanisms underlining the structure-function relationship of the three subunits is the key for understanding their function and can facilitate novel avenues for combating virus infections. This review summarizes the basic aspects and recent research of the structure-function relationship of the three subunits. We discuss the structural basis of the receptor-binding domain in GP1, the interaction between SSP and GP2 and its role in virion maturation and membrane fusion, as well as the mechanism by which glycosylation stabilizes the GPC structure and facilitates immune evasion. Understanding the molecular mechanisms involved in these aspects will contribute to the development of novel vaccines and treatment strategies against mammarenaviruses infection.",2016.0,Oct,Virologica Sinica,31,5,380-394,WOS:000387570900002,,,#22,Wang 2016,,Treatment; Vaccine,EXCLUDE,EXCLUDE
17,Structural and Functional Diversity of Nairovirus-Encoded Nucleoproteins,"Wang, Wenming; Liu, Xiang; Wang, Xu; Dong, Hui; Ma, Chao; Wang, Jingmin; Liu, Baocheng; Mao, Yonghong; Wang, Ying; Li, Ting; Yang, Cheng; Guo, Yu","The nairoviruses include assorted tick-borne bunyaviruses that are emerging as causative agents of infectious diseases among humans and animals. As negative-sense single-stranded RNA (-ssRNA) viruses, nairoviruses encode nucleoprotein (NP) that encapsidates the genomic RNA and further forms ribonucleoprotein (RNP) complex with viral RNA-dependent RNA polymerase (RdRp). We previously revealed that the monomeric NP encoded by Crimean-Congo hemorrhagic fever virus (CCHFV) presents a racket-shaped structure and shows unusual DNA-specific endonuclease activity. To examine the structural and biological variation of nairovirus-encoded NPs, here, we systematically solved the crystal structures of NPs encoded by various nairoviruses, including Hazara virus (HAZV), Kupe virus (KUPV), and Erve virus (ERVEV). Combined with biochemical analysis, our results generate a clearer picture to aid in the understanding of the functional diversity of nairovirus-encoded NPs and the formation of nairovirus RNPs. IMPORTANCE Nairoviruses comprise several tick-borne bunyaviruses that are emerging as causative agents of infectious diseases among humans and animals; however, little is known of the nairovirus genome assembly and transcription mechanisms. Based on the previous study of CCHFV NP reported by different research groups, we systematically investigate here the structural and functional diversity among three different nairoviruses. This work provides important information on nairovirus nucleoprotein function and the formation of RNPs.",2015.0,Dec,Journal of Virology,89,23,11740-11749,WOS:000366896600001,,,#23,Wang 2015,,,EXCLUDE,EXCLUDE
18,Screening and Identification of Lassa Virus Entry Inhibitors from an FDA-Approved Drug Library,"Wang, Peilin; Liu, Yang; Zhang, Guangshun; Wang, Shaobo; Guo, Jiao; Cao, Junyuan; Jia, Xiaoying; Zhang, Leike; Xiao, Gengfu; Wang, Wei","Lassa virus (LASV) belongs to the Mammarenavirus genus (family Arenaviridae) and causes severe hemorrhagic fever in humans. At present, there are no Food and Drug Administration (FDA)-approved drugs or vaccines specific for LASV. Here, high-throughput screening of an FDA-approved drug library was performed against LASV entry by using pseudotype virus bearing LASV envelope glycoprotein (GPC). Two hit compounds, lacidipine and phenothrin, were identified as LASV entry inhibitors in the micromolar range. A mechanistic study revealed that both compounds inhibited LASV entry by blocking low-pH-induced membrane fusion. Accordingly, lacidipine showed virucidal effects on the pseudotype virus of LASV. Adaptive mutant analyses demonstrated that replacement of T40, located in the ectodomain of the stable-signal peptide (SSP), with lysine (K) conferred LASV resistance to lacidipine. Furthermore, lacidipine showed antiviral activity against LASV, the closely related Mopeia virus (MOPV), and the New World arenavirus Guanarito virus (GTOV). Drug-resistant variants indicated that V36M in the ectodomain of the SSP mutant and V436A in the transmembrane domain of the GP2 mutant conferred GTOV resistance to lacidipine, suggesting the interface between SSP and GP2 is the target of lacidipine. This study shows that lacidipine is a candidate for LASV therapy, reinforcing the notion that the SSP-GP2 interface provides an entry-targeted platform for arenavirus inhibitor design. IMPORTANCE Currently, there is no approved therapy to treat Lassa fever; therefore, repurposing of approved drugs will accelerate the development of a therapeutic stratagem. In this study, we screened an FDA-approved library of drugs and identified two compounds, lacidipine and phenothrin, which inhibited Lassa virus entry by blocking low-pH-induced membrane fusion. Additionally, both compounds extended their inhibition against the entry of Guanarito virus, and the viral targets were identified as the SSP-GP2 interface.",2018.0,Aug,Journal of Virology,92,16,,WOS:000440292200042,,,#24,Wang 2018,,Treatment,EXCLUDE,EXCLUDE
19,Critical role for cholesterol in Lassa fever virus entry identified by a novel small molecule inhibitor targeting the viral receptor LAMP1,"Wang, May Kwang-Mei; Ren, Tao; Liu, Hu; Lim, Sun-Young; Lee, Kyungae; Honko, Anna; Zhou, Huanying; Dyall, Julie; Hensley, Lisa; Gartin, Ashley K.; Cunningham, James M.","Lassa fever virus (LASV) is endemic in West Africa and causes severe hemorrhagic fever and sensorineural hearing loss. We identified a small molecule inhibitor of LASV and used it to analyze the mechanism of entry. Using a photo-reactive analog that retains antiviral activity as a probe, we identified the inhibitor target as lysosome-associated membrane protein 1 (LAMP1), a host factor that binds to the LASV glycoprotein (GP) during infection. We found that LAMP1 binding to LASV GP is cholesterol-dependent, and that the inhibitor blocks infection by competing with cholesterol in LAMP1. Mutational analysis of a docking-based model identified a putative inhibitor binding site in the cholesterol-binding pocket within the LAMP1 domain that binds GP. These findings identify a critical role for cholesterol in LASV entry and a potential target for therapeutic intervention.",2018.0,Sep,Plos Pathogens,14,9,,WOS:000448975900038,,,#25,Wang 2018,,,EXCLUDE,EXCLUDE
20,Alphavirus vector-based replicon particles expressing multivalent cross-protective Lassa virus glycoproteins,"Wang, Min; Jokinen, Jenny; Tretyakova, Irina; Pushko, Peter; Lukashevich, Igor S.","Lassa virus (LASV) is the most prevalent rodent-borne arenavirus circulated in West Africa. With population at risk from Senegal to Nigeria, LASV causes Lassa fever and is responsible for thousands of deaths annually. High genetic diversity of LASV is one of the challenges for vaccine R&D. We developed multivalent virus-like particle vectors (VLPVs) derived from the human Venezuelan equine encephalitis TC-83 IND vaccine (VEEV) as the next generation of alphavirus-based bicistronic RNA replicon particles. The genes encoding VEEV structural proteins were replaced with LASV glycoproteins (GPC) from distantly related clades I and IV with individual 26S promoters. Bicistronic RNA replicons encoding wild-type LASV GPC (GPCwt) and C-terminally deleted, non-cleavable modified glycoprotein (Delta GPfib), were encapsidated into VLPV particles using VEEV capsid and glycoproteins provided in trans. In transduced cells, VLPVs induced simultaneous expression of LASV GPCwt and Delta GPfib from 26S alphavirus promoters. LASV Delta GPfib was predominantly expressed as trimers, accumulated in the endoplasmic reticulum, induced ER stress and apoptosis promoting antigen cross-priming. VLPV vaccines were immunogenic and protective in mice and upregulated CD11c(+)/CD8(+) dendritic cells playing the major role in cross-presentation. Notably, VLPV vaccination resulted in induction of cross-reactive multifunctional T cell responses after stimulation of immune splenocytes with peptide cocktails derived from LASV from clades I-IV. Multivalent RNA replicon-based LASV vaccines can be applicable for first responders, international travelers visiting endemic areas, military and lab personnel. (C) 2017 The Authors. Published by Elsevier Ltd.",2018.0,Jan 29,Vaccine,36,5,683-690,WOS:000424729300013,,,#26,Wang 2018,,,EXCLUDE,EXCLUDE
21,Biological Roles and Functional Mechanisms of Arenavirus Z Protein in Viral Replication,"Wang, Jialong; Danzy, Shamika; Kumar, Naveen; Ly, Hinh; Liang, Yuying","Arenaviruses can cause severe hemorrhagic fever diseases in humans, with limited prophylactic or therapeutic measures. A small RING-domain viral protein Z has been shown to mediate the formation of virus-like particles and to inhibit viral RNA synthesis, although its biological roles in an infectious viral life cycle have not been directly addressed. By taking advantage of the available reverse genetics system for a model arenavirus, Pichinde virus (PICV), we provide the direct evidence for the essential biological roles of the Z protein's conserved residues, including the G2 myristylation site, the conserved C and H residues of RING domain, and the poorly characterized C-terminal L79 and P80 residues. Dicodon substitutions within the late (L) domain ((PS) under barA (PP) under barY (EP) under bar) of the PICV Z protein, although producing viable mutant viruses, have significantly reduced virus growth, a finding suggestive of an important role for the intact L domain in viral replication. Further structure-function analyses of both PICV and Lassa fever virus Z proteins suggest that arenavirus Z proteins have similar molecular mechanisms in mediating their multiple functions, with some interesting variations, such as the role of the G2 residue in blocking viral RNA synthesis. In summary, our studies have characterized the biological roles of the Z protein in an infectious arenavirus system and have shed important light on the distinct functions of its domains in virus budding and viral RNA regulation, the knowledge of which may lead to the development of novel antiviral drugs.",2012.0,Sep,Journal of Virology,86,18,9794-9801,WOS:000308337500023,,,#27,Wang 2012,,,EXCLUDE,EXCLUDE
22,Incorporation of high levels of chimeric human immunodeficiency virus envelope glycoproteins into virus-like particles,"Wang, Bao-Zhong; Liu, Weimin; Kang, Sang-Moo; Alam, Munir; Huang, Chunzi; Ye, Ling; Sun, Yuliang; Li, Yingying; Kothe, Denise L.; Pushko, Peter; Dokland, Terje; Haynes, Barton F.; Smith, Gale; Hahn, Beatrice H.; Compans, Richard W.","The human immunodeficiency virus (HIV) envelope (Env) protein is incorporated into HIV virions or virus-like particles (VLPs) at very low levels compared to the glycoproteins of most other enveloped viruses. To test factors that influence HIV Env particle incorporation, we generated a series of chimeric gene constructs in which the coding sequences for the signal peptide (SP), transmembrane (TM), and cytoplasmic tail (CT) domains of HIV-1 Env were replaced with those of other viral or cellular proteins individually or in combination. All constructs tested were derived from HIV type 1 (HIV-1) Con-S Delta CFI gp145, which itself was found to be incorporated into VLPs much more efficiently than full-length Con-S Env. Substitution of the SP from the honeybee protein mellitin resulted in threefold-higher chimeric HIV-1 Env expression levels on insect cell surfaces and an increase of Env incorporation into VLPs. Substitution of the HIV TM-CT with sequences derived from the mouse mammary tumor virus (MMTV) envelope glycoprotein, influenza virus hemagglutinin, or baculovirus (BV) gp64, but not from Lassa fever virus glycoprotein, was found to enhance Env incorporation into VLPs. The highest level of Env incorporation into VLPs was observed in chimeric constructs containing the MMTV and BV gp64 TM-CT domains in which the Gag/Env molar ratios were estimated to be 4:1 and 5:1, respectively, compared to a 56:1 ratio for full-length Con-S gp160. Electron microscopy revealed that VLPs with chimeric HIV Env were similar to HIV-1 virions in morphology and size and contained a prominent layer of Env spikes on their surfaces. HIV Env specific monoclonal antibody binding results showed that chimeric Env-containing VLPs retained conserved epitopes and underwent conformational changes upon CD4 binding.",2007.0,Oct,Journal of Virology,81,20,10869-10878,WOS:000250019400004,,,#28,Wang 2007,,,EXCLUDE,EXCLUDE
23,Experimental Lassa Virus-Infection in Squirrel-Monkey,"Walker, D. H.; Wulff, H.; Murphy, F. A.",,1975.0,1975,American Journal of Pathology,80,2,261-278,WOS:A1975AN22500006,,,#29,Walker 1975,,,EXCLUDE,EXCLUDE
24,"Comparative Pathology of Lassa Virus-Infection in Monkeys, Guinea-Pigs, and Mastomys-Natalensis","Walker, D. H.; Wulff, H.; Lange, J. V.; Murphy, F. A.",,1975.0,1975,Bulletin of the World Health Organization,52,4-6,523-534,WOS:A1975BZ39800019,,,#30,Walker 1975,,,EXCLUDE,EXCLUDE
25,"Experimental-Infection of Rhesus-Monkeys with Lassa Virus and a Closely Related Arenavirus, Mozambique Virus","Walker, D. H.; Johnson, K. M.; Lange, J. V.; Gardner, J. J.; Kiley, M. P.; McCormick, J. B.",,1982.0,1982,Journal of Infectious Diseases,146,3,360-368,WOS:A1982PH38100008,,,#31,Walker 1982,,,EXCLUDE,EXCLUDE
26,On the Resistance or Sensitivity (Resistivity) of Viral Agents - a Survey of References,"Vonsprockhoff, H.; Marschall, H. J.",,1984.0,1984,Deutsche Tierarztliche Wochenschrift,91,6,215-218,WOS:A1984SW67800001,,,#32,Vonsprockhoff 1984,,,EXCLUDE,EXCLUDE
27,US Federal Travel Restrictions for Persons with Higher-Risk Exposures to Communicable Diseases of Public Health Concern,"Vonnahme, Laura A.; Jungerman, M. Robynne; Gulati, Reena K.; Illig, Petra; Alvarado-Ramy, Francisco","Published guidance recommends controlled movement for persons with higher-risk exposures (HREs) to communicable diseases of public health concern; US federal public health travel restrictions (PHTRs) might be implemented to enforce these measures. We describe persons eligible for and placed on PHTRs because of HREs during 2014-2016. There were 160 persons placed on PHTRs: 142 (89%) involved exposure to Ebola virus, 16 (10%) to Lassa fever virus, and 2 (1%) to Middle East respiratory syndrome coronavirus. Most (90%) HREs were related to an epidemic. No persons attempted to travel; all persons had PHTRs lifted after completion of a maximum disease-specific incubation period or a revised exposure risk classification. PHTR enforced controlled movement and removed risk for disease transmission among travelers who had contacts who refused to comply with public health recommendations. PHTRs are mechanisms to mitigate spread of communicable diseases and might be critical in enhancing health security during epidemics.",2017.0,Dec,Emerging Infectious Diseases,23,,S108-S113,WOS:000417037000016,,,#33,Vonnahme 2017,,,EXCLUDE,EXCLUDE
28,Structural characterization of the Z RING-eIF4E complex reveals a distinct mode of control for eIF4E,"Volpon, Laurent; Osborne, Michael J.; Capul, Althea A.; de la Torre, Juan C.; Borden, Katherine L. B.","The eukaryotic translation initiation factor eIF4E, a potent oncogene, is highly regulated. One class of eIF4E regulators, including eIF4G and the 4E-binding proteins (4E-BPs), interact with eIF4E using a conserved YXXXXL Phi-binding site. The structural basis of this interaction and its regulation are well established. Really Interesting New Gene (RING) domain containing proteins, such as the promyelocytic leukemia protein PML and the arenaviral protein Z, represent a second class of eIF4E regulators that inhibit eIF4E function by decreasing eIF4E's affinity for its m(7)G cap ligand. To elucidate the structural basis of this inhibition, we determined the structure of Z and studied the Z-eIF4E complex using NMR methods. We show that Z interacts with eIF4E via a novel binding site, which has no homology with that of eIF4G or the 4E-BPs, and is different from the RING recognition site used in the ubiquitin system. Z and eIF4G interact with distinct parts of eIF4E and differentially alter the conformation of the m(7)G cap-binding site. Our results provide a molecular basis for how PML and Z RINGs reduce the affinity of eIF4E for the m(7)G cap and thereby act as key inhibitors of eIF4E function. Furthermore, our findings provide unique insights into RING protein interactions.",2010.0,Mar 23,Proceedings of the National Academy of Sciences of the United States of America,107,12,5441-5446,WOS:000275898300033,,,#34,Volpon 2010,,,EXCLUDE,EXCLUDE
29,Experimental Evaluation of the Pathogenicity of Lassa Virus Variants,"Vladyko, A. S.; Surikova, L. E.; Vovk, T. A.; Cherednichenko, I. A.; Torop, A. V.","Pathogenicity for guinea pigs and white mice of various Lassa virus variants: native, having had 1 passage in Vero cell culture and 4 passages in newborn white mouse brain; a virus having gone through 10 passages in Vero cells and 8 mouse brain passages (variant No. 10); a small-plaque clone derived from variant No. 10 by the method of plaque-to-plaque cloning (variant No. 11k), was studied. Both the native virus and variant No. 10 were found to be similarly pathogenic for susceptible laboratory animals, while the small-plaque variant of Lassa virus became non-fatal for guinea pigs and white mice. The decline of pathogenic properties in variant No. 11k was shown not to be associated with the presence of temperature-sensitive mutants or defective interfering particles.",1985.0,1985,Voprosy virusologii,30,4,454-457,BCI:BCI198681063728,,,#35,Vladyko 1985,,,EXCLUDE,EXCLUDE
